date_time,arrivals
01/01/2019 00:10,0
01/01/2019 00:20,0
01/01/2019 00:30,0
01/01/2019 00:40,0
01/01/2019 00:50,0
01/01/2019 01:00,0
01/01/2019 01:10,0
01/01/2019 01:20,0
01/01/2019 01:30,0
01/01/2019 01:40,0
01/01/2019 01:50,0
01/01/2019 02:00,0
01/01/2019 02:10,0
01/01/2019 02:20,0
01/01/2019 02:30,0
01/01/2019 02:40,0
01/01/2019 02:50,0
01/01/2019 03:00,0
01/01/2019 03:10,0
01/01/2019 03:20,0
01/01/2019 03:30,0
01/01/2019 03:40,0.71
01/01/2019 03:50,6.4
01/01/2019 04:00,18.53
01/01/2019 04:10,29.19
01/01/2019 04:20,43.78
01/01/2019 04:30,58.59
01/01/2019 04:40,61.74
01/01/2019 04:50,78.72
01/01/2019 05:00,86.21
01/01/2019 05:10,70.15
01/01/2019 05:20,55.53
01/01/2019 05:30,40.92
01/01/2019 05:40,35.21
01/01/2019 05:50,30.54
01/01/2019 06:00,26.04
01/01/2019 06:10,18.57
01/01/2019 06:20,18.71
01/01/2019 06:30,13.82
01/01/2019 06:40,17.34
01/01/2019 06:50,20.52
01/01/2019 07:00,27.86
01/01/2019 07:10,18.74
01/01/2019 07:20,18.4
01/01/2019 07:30,17.28
01/01/2019 07:40,12.94
01/01/2019 07:50,8.98
01/01/2019 08:00,6.74
01/01/2019 08:10,4.68
01/01/2019 08:20,2.6
01/01/2019 08:30,1.56
01/01/2019 08:40,0
01/01/2019 08:50,0.99
01/01/2019 09:00,6.93
01/01/2019 09:10,11.88
01/01/2019 09:20,15.84
01/01/2019 09:30,20.67
01/01/2019 09:40,16.15
01/01/2019 09:50,20.47
01/01/2019 10:00,24.69
01/01/2019 10:10,36.02
01/01/2019 10:20,32.49
01/01/2019 10:30,35.42
01/01/2019 10:40,40.46
01/01/2019 10:50,37.49
01/01/2019 11:00,33.24
01/01/2019 11:10,34.93
01/01/2019 11:20,31.27
01/01/2019 11:30,33.53
